nama_vga,harga_vga
Asus GeForce GTX 1080 Ti,999.0
Asus GeForce GTX 1070 Ti,829.0
Asus GeForce RTX 2080 SUPER,1498.0
Dell Quadro K600,46.0
Diamond Radeon HD 5450,39.0
EVGA GeForce GTX 560 Ti 448,609.0
EVGA GeForce GTX 560 Ti 448,637.0
EVGA GeForce GTX 560 Ti 448,545.0
EVGA GeForce GTX 580,875.0
EVGA GeForce 8400 GS,47.0
EVGA GeForce 8400 GS,199.0
EVGA GeForce GTX 460,351.0
EVGA GeForce GTX 460,299.0
EVGA GeForce GT 440,349.0
EVGA GeForce GT 610,162.0
EVGA GeForce GT 610,249.0
EVGA GeForce GT 710,52.0
EVGA GeForce GTX 650,345.0
EVGA GeForce GTX 750,249.0
EVGA GeForce GTX 650 Ti,299.0
EVGA GeForce GT 610,329.0
EVGA GeForce GT 710,52.0
EVGA GeForce GT 710,46.0
EVGA GeForce GT 730,599.0
EVGA GeForce GT 640,277.0
EVGA GeForce GTX 650,296.0
EVGA GeForce GTX 660,478.0
EVGA GeForce GTX 660,518.0
EVGA GeForce GTX 670,816.0
EVGA GeForce GTX 680,1022.0
EVGA GeForce GTX 680,1022.0
EVGA GeForce GTX 660 Ti,650.0
EVGA GeForce GTX 660 Ti,673.0
EVGA GeForce GTX 660 Ti,664.0
EVGA GeForce GT 1030 DDR4,99.0
EVGA GeForce GT 1030,90.0
EVGA GeForce GT 1030,94.0
EVGA GeForce GT 1030,88.0
EVGA GeForce GTX 580,1112.0
EVGA GeForce GTX 670,927.0
EVGA GeForce GTX 680,1153.0
EVGA GeForce GTX 670,603.0
EVGA GeForce GTX 680,1161.0
EVGA GeForce GTX 680,1194.0
EVGA GeForce GTX Titan,2080.0
EVGA GeForce GTX 460,447.0
EVGA GeForce GTX 1660,275.0
EVGA GeForce RTX 2080 SUPER,1399.0
EVGA GeForce GTX 1080 Ti,1999.0
EVGA GeForce GTX 980 Ti,1208.0
EVGA GeForce GTX 1080 Ti,1149.0
